Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,Average Price,Price Change
2023-09-10,25901.6,26033.66,25570.57,25841.61,18738.26914,2023-09-10 23:59:59.999,483577459.20553450,489773,8747.51072000,225752901.04035010,0,25802.114999999998,-59.98999999999796
2023-09-11,25841.6,25900.69,24901.0,25162.52,41682.32,2023-09-11 23:59:59.999,1057371884.66970660,864138,19664.90243000,498821645.38522220,0,25400.845,-679.0799999999981
2023-09-12,25162.53,26567.0,25131.48,25840.1,56434.38537,2023-09-12 23:59:59.999,1464393036.96166230,1047056,27720.51830000,719147319.97870640,0,25849.239999999998,677.5699999999997
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,2023-09-13 23:59:59.999,825437881.46875910,714880,15287.00038000,399099781.62076480,0,26084.695,381.90000000000146
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,2023-09-14 23:59:59.999,1015267319.77302260,799278,19440.45467000,514863794.37838940,0,26493.63,300.72999999999956
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,2023-09-15 23:59:59.999,695203258.00044450,654094,12600.39115000,334045930.76672120,0,26556.0,77.27000000000044
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,2023-09-16 23:59:59.999,370889866.45927350,526416,6508.91352000,172926781.38884230,0,26611.0,-40.32000000000335
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,2023-09-17 23:59:59.999,344703727.56010710,476775,6359.89459000,168675580.01646300,0,26511.125,-32.159999999999854
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,2023-09-18 23:59:59.999,1158780347.62530490,938705,21551.71605000,580912488.75943090,0,26893.175,235.0099999999984
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,2023-09-19 23:59:59.999,981539255.55962000,898076,17851.15558000,484061308.12493300,0,27075.68,447.7599999999984
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,2023-09-20 23:59:59.999,927206075.96262730,867288,16983.43086000,460402346.17078340,0,27094.315000000002,-85.25
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,2023-09-21 23:59:59.999,920768143.35131270,823416,16878.78202000,450738363.85069850,0,26768.65,-556.9299999999967
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,2023-09-22 23:59:59.999,484331618.94853190,567149,8484.09679000,225805692.72356930,0,26606.075,12.059999999997672
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,2023-09-23 23:59:59.999,250873957.38867380,421717,4387.19730000,116581214.13013300,0,26570.905,-4.180000000000291
