Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-09-10,1635.53000000,1635.70000000,1600.00000000,1617.42000000,207957.84280000,2023-09-10 23:59:59.999,336517904.44357200,292581,100039.46380000,161887440.95607500,0
2023-09-11,1617.42000000,1619.00000000,1531.01000000,1551.85000000,417424.81890000,2023-09-11 23:59:59.999,657137141.34232000,470056,202066.27300000,318051411.66556500,0
2023-09-12,1551.84000000,1626.00000000,1549.67000000,1592.97000000,329739.96850000,2023-09-12 23:59:59.999,525392019.74439200,444268,163861.72240000,260938398.99068400,0
2023-09-13,1592.97000000,1619.30000000,1581.88000000,1607.62000000,223409.28890000,2023-09-13 23:59:59.999,357304191.67390100,349327,107880.37120000,172522864.73323100,0
2023-09-14,1607.61000000,1644.29000000,1607.05000000,1626.47000000,275301.15050000,2023-09-14 23:59:59.999,447913522.75155000,414952,138634.91200000,225589264.49306300,0
2023-09-15,1626.48000000,1654.08000000,1611.42000000,1641.29000000,181340.02400000,2023-09-15 23:59:59.999,295616593.10786500,313776,88087.76060000,143641063.63150800,0
2023-09-16,1641.30000000,1653.17000000,1631.31000000,1634.40000000,99555.46710000,2023-09-16 23:59:59.999,163144495.69107900,245713,43821.93810000,71819073.48656100,0
2023-09-17,1634.40000000,1635.00000000,1612.00000000,1622.48000000,120227.41170000,2023-09-17 23:59:59.999,195464805.89100300,264713,53504.64230000,86960701.56543400,0
2023-09-18,1622.48000000,1669.50000000,1603.88000000,1636.66000000,279041.69780000,2023-09-18 23:59:59.999,458235380.24668600,453410,138512.84180000,227475377.92370300,0
2023-09-19,1636.66000000,1661.04000000,1626.32000000,1643.12000000,184282.42580000,2023-09-19 23:59:59.999,302910996.59182800,350549,87617.88890000,144020378.48103300,0
2023-09-20,1643.13000000,1649.34000000,1604.51000000,1622.26000000,232844.23470000,2023-09-20 23:59:59.999,379255954.95170500,382581,110068.56250000,179266382.86945100,0
2023-09-21,1622.27000000,1625.30000000,1567.77000000,1583.94000000,240627.54400000,2023-09-21 23:59:59.999,384503484.65584100,368163,113477.52690000,181209870.85890900,0
2023-09-22,1583.94000000,1602.68000000,1576.58000000,1593.08000000,124886.09100000,2023-09-22 23:59:59.999,198987470.05588800,267398,59931.03820000,95501097.43361500,0
2023-09-23,1593.07000000,1598.24000000,1587.45000000,1593.86000000,64537.13410000,2023-09-23 23:59:59.999,102806906.08343100,217950,29897.50660000,47624962.92926800,0
2023-09-24,1593.85000000,1601.12000000,1570.01000000,1580.71000000,137517.85330000,2023-09-24 23:59:59.999,218549215.97400900,307377,69567.52880000,110560825.81027300,0
2023-09-25,1580.71000000,1597.50000000,1563.01000000,1588.33000000,176706.92770000,2023-09-25 23:59:59.999,279294486.72266100,405042,86242.67550000,136326196.38298200,0
